text,category,priority,sentiment
"Dear admin, There is a problem: bus driver is rude in the route 5. few hours. This is unacceptable.",Transport,Medium,Negative
"Sir, There is a problem: washroom is very dirty in the ground floor. since 3 days. Appreciate quick action.",Cleanliness,High,Positive
"To whom it may concern, drainage is blocked at ground floor washroom, today morning. Bahut buri service hai.",Plumbing,Medium,Negative
"Sir, dustbin overflowing. Location: hostel back side. occasionally. Kindly resolve at earliest.",Garbage,Low,Neutral
"general complaint at campus, since yesterday. Thanks.",Other,Medium,Neutral
"Sir, There is a problem: monitor is blank in the faculty room. please look into it. Appreciate quick action.",Computer/Hardware,Medium,Positive
"Dear admin, found insect in food at dining area, today morning. Very disappointed.",Mess/Food,Medium,Negative
"Hello, no proper cleaning. Location: hostel room 202. occasionally. Frustrated with this.",Hostel Room,Low,Negative
Complaint: broken bed. Location: hostel room 202. small problem. This is unacceptable.,Hostel Room,Low,Negative
Complaint: waste dumped near hostel. Location: canteen area. immediately. This is unacceptable.,Garbage,Critical,Negative
"Sir, wrong marks in result at academic office, since last week. This is unacceptable.",Academic Issue,High,Negative
"Hello, electric socket sparking at study hall, today morning. Very disappointed.",Electricity,Medium,Negative
"Hello, warden not responding. Location: hostel room 202. kabhi kabhi hota hai. This is unacceptable.",Hostel Room,Low,Negative
"Dear admin, warden office me roommate issue, assault. Bahut buri service hai.",Hostel Room,Critical,Negative
"Dear admin, canteen area me dustbin overflowing, since yesterday. Bahut buri service hai.",Garbage,Medium,Negative
"To whom it may concern, route 5 me bus did not come today, few hours. Bahut buri service hai.",Transport,Medium,Negative
"To whom it may concern, hostel gate me strangers entering hostel, for 2 days. Ye kya ho raha hai.",Security/Safety,High,Negative
"To whom it may concern, general complaint. Location: campus. no response yet. Kindly resolve at earliest.",Other,High,Neutral
"To whom it may concern, router is offline at computer lab, few hours. Ye kya ho raha hai.",Internet/Wifi,Medium,Negative
There is a problem: corridor is filthy in the corridor. kindly resolve. Awaiting your response.,Cleanliness,Medium,Neutral
"Sir, There is a problem: general complaint in the campus. kindly resolve. Please look into it.",Other,Medium,Neutral
"Sir, drainage is blocked. Location: hostel bathroom. many students affected. Ye kya ho raha hai.",Plumbing,High,Negative
"To whom it may concern, There is a problem: no power in whole floor in the Room 101. minor issue. Ye kya ho raha hai.",Electricity,Low,Negative
"To whom it may concern, bed sheet not changed. Location: block C. since last week. Bahut buri service hai.",Hostel Room,High,Negative
"To whom it may concern, admission form not accepted at registrar office, few hours. Kindly resolve at earliest.",Administrative,Medium,Neutral
"Dear admin, dirty water is coming. Location: washrooms on 2nd floor. many students affected. Frustrated with this.",Water Supply,High,Negative
"Hello, teacher not coming to class regularly at department, medical emergency. Frustrated with this.",Faculty Issue,Critical,Negative
"Hello, flush not working. Location: hostel bathroom. since 4 days. Frustrated with this.",Plumbing,High,Negative
"Dear admin, results not published at portal, many students affected. This is unacceptable.",Academic Issue,High,Negative
"Hello, khana ekdum tasteless hai at mess hall, please look into it. Bahut buri service hai.",Mess/Food,Medium,Negative
"Dear admin, There is a problem: certificate not issued in the registrar office. just a suggestion. Appreciate quick action.",Administrative,Low,Positive
There is a problem: office staff not responding in the admin block. please look into it. Thanks.,Administrative,Medium,Neutral
Complaint: found insect in food. Location: canteen. medical emergency. Ye kya ho raha hai.,Mess/Food,Critical,Negative
"Sir, harassment in hostel at canteen, kindly resolve. Frustrated with this.",Harassment,Medium,Negative
"Complaint: lecture hall me faculty is rude, many students affected. Very disappointed.",Faculty Issue,High,Negative
"Dear admin, There is a problem: results not published in the portal. kabhi kabhi hota hai. Ye kya ho raha hai.",Academic Issue,Low,Negative
"To whom it may concern, bulb is fused at study hall, medical emergency. This is unacceptable.",Electricity,Critical,Negative
"Sir, There is a problem: syllabus not covered before exam in the academic office. kabhi kabhi hota hai. Frustrated with this.",Academic Issue,Low,Negative
"To whom it may concern, suggestion for improvement at college, kindly resolve. Thanks.",Other,Medium,Neutral
"Hello, water not coming at Hostel Block A, occasionally. Kindly resolve at earliest.",Water Supply,Low,Neutral
"Hello, general complaint at campus, please look into it. Thanks.",Other,Medium,Neutral
found insect in food. Location: canteen. small problem. This is unacceptable.,Mess/Food,Low,Negative
"professor not clearing doubts at lecture hall, immediately. Very disappointed.",Faculty Issue,Critical,Negative
"Dear admin, admin block me computer is not turning on, kindly resolve. Awaiting your response.",Computer/Hardware,Medium,Neutral
"no power in whole floor at auditorium, since yesterday. Bahut buri service hai.",Electricity,Medium,Negative
"Hello, same menu every day. Location: mess hall. no response yet. Frustrated with this.",Mess/Food,High,Negative
"staff toilet me sewage smell, still not fixed. Please look into it.",Plumbing,High,Neutral
"staff toilet me flush not working, minor issue. Ye kya ho raha hai.",Plumbing,Low,Negative
"dining area me found insect in food, kindly resolve. Ye kya ho raha hai.",Mess/Food,Medium,Negative
"Sir, There is a problem: current fluctuation is damaging appliances in the Library. just a suggestion. This is unacceptable.",Electricity,Low,Negative
"To whom it may concern, someone blocked my vehicle at parking lot, many students affected. This is unacceptable.",Parking,High,Negative
"Hello, campus me general complaint, just a suggestion. Awaiting your response.",Other,Low,Neutral
"To whom it may concern, lecture is too fast. Location: lecture hall. since yesterday. This is unacceptable.",Faculty Issue,Medium,Negative
"To whom it may concern, There is a problem: waste dumped near hostel in the canteen area. occasionally. This is unacceptable.",Garbage,Low,Negative
"Hello, cannot connect to campus network. Location: computer lab. assault. Very disappointed.",Internet/Wifi,Critical,Negative
Complaint: There is a problem: admission form not accepted in the admin block. few hours. Appreciate quick action.,Administrative,Medium,Positive
"Hello, There is a problem: parking is chaotic in the parking lot. few hours. Kindly resolve at earliest.",Parking,Medium,Neutral
There is a problem: harassment in hostel in the canteen. occasionally. Very disappointed.,Harassment,Low,Negative
"Hello, fan not working at mess hall, just a suggestion. Frustrated with this.",Electricity,Low,Negative
"To whom it may concern, There is a problem: corridor is filthy in the corridor. many students affected. Very disappointed.",Cleanliness,High,Negative
"Dear admin, There is a problem: cannot connect to campus network in the hostel room. today morning. Kindly resolve at earliest.",Internet/Wifi,Medium,Neutral
"पानी नहीं आ रहा at Boys Hostel, today morning. Very disappointed.",Water Supply,Medium,Negative
"parking lot me parking is chaotic, since 4 days. Ye kya ho raha hai.",Parking,High,Negative
"Complaint: no guard at gate at night at library, since yesterday. Ye kya ho raha hai.",Security/Safety,Medium,Negative
"Dear admin, misc issue at college, fire. Awaiting your response.",Other,Critical,Neutral
"Dear admin, bus stop me bus driver is rude, emergency. Ye kya ho raha hai.",Transport,Critical,Negative
"Hello, ground floor washroom me toilet is clogged, today morning. Please look into it.",Plumbing,Medium,Neutral
"To whom it may concern, Room 101 me fan not working, for 2 days. This is unacceptable.",Electricity,High,Negative
college bus is always late. Location: campus gate. kindly resolve. Awaiting your response.,Transport,Medium,Neutral
"Sir, wrong marks in result. Location: academic office. since 4 days. Kindly resolve at earliest.",Academic Issue,High,Neutral
"To whom it may concern, room not cleaned for days at washroom, minor issue. Ye kya ho raha hai.",Cleanliness,Low,Negative
Complaint: verbal abuse from staff. Location: hostel corridor. since 4 days. Bahut buri service hai.,Harassment,High,Negative
"Sir, There is a problem: general complaint in the college. many students affected. Please look into it.",Other,High,Neutral
router is offline. Location: computer lab. urgent. Frustrated with this.,Internet/Wifi,Critical,Negative
"To whom it may concern, staff toilet me toilet is clogged, since yesterday. Frustrated with this.",Plumbing,Medium,Negative
"Sir, system is very slow. Location: admin block. few hours. Thanks.",Computer/Hardware,Medium,Neutral
"Dear admin, dustbin overflowing. Location: canteen area. since yesterday. Frustrated with this.",Garbage,Medium,Negative
"Hello, printer paper jam at office, since 3 days. Very disappointed.",Computer/Hardware,High,Negative
Complaint: certificate not issued. Location: admin block. kindly resolve. Awaiting your response.,Administrative,Medium,Neutral
"Hello, There is a problem: fire hazard in lab in the parking lot. minor issue. Bahut buri service hai.",Security/Safety,Low,Negative
"bus stop me bus did not come today, today morning. Please look into it.",Transport,Medium,Neutral
Complaint: general complaint. Location: college. just a suggestion. Please look into it.,Other,Low,Neutral
"Dear admin, current fluctuation is damaging appliances at Lab 2, since last week. Very disappointed.",Electricity,High,Negative
"To whom it may concern, There is a problem: bijli nahi hai in the Library. please look into it. Very disappointed.",Electricity,Medium,Negative
"Complaint: bullying in class at sports ground, since 4 days. Bahut buri service hai.",Harassment,High,Negative
"Hello, bus driver is rude. Location: campus gate. since yesterday. Ye kya ho raha hai.",Transport,Medium,Negative
water tap is leaking. Location: Hostel Block C. kabhi kabhi hota hai. Bahut buri service hai.,Water Supply,Low,Negative
"To whom it may concern, fire hazard in lab. Location: library. kindly resolve. This is unacceptable.",Security/Safety,Medium,Negative
"bus stop me college bus is always late, please look into it. Very disappointed.",Transport,Medium,Negative
"Sir, food quality is very poor. Location: dining area. since 4 days. This is unacceptable.",Mess/Food,High,Negative
"Dear admin, There is a problem: shower head broken in the hostel bathroom. since yesterday. Bahut buri service hai.",Plumbing,Medium,Negative
"To whom it may concern, bus stop me bus driver is rude, many students affected. This is unacceptable.",Transport,High,Negative
"Complaint: fan not working at study hall, kindly resolve. Bahut buri service hai.",Electricity,Medium,Negative
Complaint: There is a problem: router is offline in the classroom. since yesterday. Frustrated with this.,Internet/Wifi,Medium,Negative
"Dear admin, campus gate me bus driver is rude, small problem. This is unacceptable.",Transport,Low,Negative
"Sir, faculty room me monitor is blank, since 4 days. This is unacceptable.",Computer/Hardware,High,Negative
"Sir, wrong marks in result. Location: academic office. many students affected. Bahut buri service hai.",Academic Issue,High,Negative
"router is offline at classroom, kabhi kabhi hota hai. Thanks.",Internet/Wifi,Low,Neutral
"To whom it may concern, someone blocked my vehicle. Location: faculty parking. since 3 days. Bahut buri service hai.",Parking,High,Negative
"Hello, garbage not collected at main road, since 4 days. Ye kya ho raha hai.",Garbage,High,Negative
"Dear admin, classroom me wifi not working, kindly resolve. Bahut buri service hai.",Internet/Wifi,Medium,Negative
"Sir, Library me fan not working, still not fixed. Awaiting your response.",Electricity,High,Neutral
"general complaint at campus, please look into it. Awaiting your response.",Other,Medium,Neutral
"warden office me broken bed, still not fixed. Appreciate quick action.",Hostel Room,High,Positive
"Dear admin, There is a problem: general complaint in the campus. since 4 days. Thanks.",Other,High,Neutral
"Sir, syllabus not covered before exam. Location: academic office. no response yet. Bahut buri service hai.",Academic Issue,High,Negative
"Hello, study hall me power cut, since last week. Very disappointed.",Electricity,High,Negative
"Sir, admin block me office staff not responding, no response yet. Kindly resolve at earliest.",Administrative,High,Neutral
"Complaint: faculty room me keyboard keys not working, medical emergency. Ye kya ho raha hai.",Computer/Hardware,Critical,Negative
"Sir, garbage not collected at canteen area, since yesterday. Thanks.",Garbage,Medium,Neutral
"Sir, hostel bathroom me flush not working, kindly resolve. Very disappointed.",Plumbing,Medium,Negative
"To whom it may concern, verbal abuse from staff at canteen, small problem. Thanks in advance.",Harassment,Low,Positive
"Sir, campus me suggestion for improvement, still not fixed. Please look into it.",Other,High,Neutral
Complaint: There is a problem: attendance shortage marked wrongly in the notice board. today morning. Frustrated with this.,Academic Issue,Medium,Negative
"Dear admin, someone blocked my vehicle at parking lot, kabhi kabhi hota hai. Appreciate quick action.",Parking,Low,Positive
"Sir, khana ekdum tasteless hai at dining area, today morning. Frustrated with this.",Mess/Food,Medium,Negative
"roommate issue at block C, please look into it. Appreciate quick action.",Hostel Room,Medium,Positive
There is a problem: broken bed in the hostel room 202. since yesterday. Frustrated with this.,Hostel Room,Medium,Negative
"Complaint: bus did not come today at route 5, for 2 days. Kindly resolve at earliest.",Transport,High,Neutral
"To whom it may concern, garbage not collected. Location: canteen area. today morning. Thanks.",Garbage,Medium,Neutral
"To whom it may concern, There is a problem: bed sheet not changed in the warden office. occasionally. Ye kya ho raha hai.",Hostel Room,Low,Negative
"Sir, main gate me wallet stolen from library, kindly resolve. Ye kya ho raha hai.",Security/Safety,Medium,Negative
"Hello, hostel corridor me verbal abuse from staff, since last week. Very disappointed.",Harassment,High,Negative
"Complaint: shower head broken at ground floor washroom, small problem. Ye kya ho raha hai.",Plumbing,Low,Negative
"Hello, lecture hall me teacher not coming to class regularly, no response yet. Ye kya ho raha hai.",Faculty Issue,High,Negative
"Dear admin, There is a problem: faculty is rude in the class 3B. minor issue. Thanks in advance.",Faculty Issue,Low,Positive
"To whom it may concern, no drinking water at Hostel Block C, occasionally. Bahut buri service hai.",Water Supply,Low,Negative
"Dear admin, drainage is blocked. Location: hostel bathroom. few hours. Awaiting your response.",Plumbing,Medium,Neutral
ragging by seniors. Location: sports ground. for 2 days. Very disappointed.,Harassment,High,Negative
"roommate issue at warden office, kindly resolve. Ye kya ho raha hai.",Hostel Room,Medium,Negative
"Sir, There is a problem: waste dumped near hostel in the main road. just a suggestion. Bahut buri service hai.",Garbage,Low,Negative
ragging by seniors. Location: canteen. small problem. This is unacceptable.,Harassment,Low,Negative
"To whom it may concern, There is a problem: waste dumped near hostel in the hostel back side. medical emergency. This is unacceptable.",Garbage,Critical,Negative
"Hello, admin block me fee receipt not generated, since yesterday. Awaiting your response.",Administrative,Medium,Neutral
"Dear admin, cobwebs everywhere. Location: ground floor. since yesterday. Very disappointed.",Cleanliness,Medium,Negative
"Hello, There is a problem: wifi not working in the library. please look into it. Bahut buri service hai.",Internet/Wifi,Medium,Negative
"To whom it may concern, dustbin overflowing. Location: hostel back side. small problem. This is unacceptable.",Garbage,Low,Negative
"Complaint: wrong marks in result at portal, since last week. Ye kya ho raha hai.",Academic Issue,High,Negative
"Dear admin, washroom me room not cleaned for days, small problem. Very disappointed.",Cleanliness,Low,Negative
"washbasin is leaking at staff toilet, assault. Thanks in advance.",Plumbing,Critical,Positive
"Complaint: Room 201 me dirty water is coming, kindly resolve. This is unacceptable.",Water Supply,Medium,Negative
"To whom it may concern, suggestion for improvement. Location: college. occasionally. Appreciate quick action.",Other,Low,Positive
"Sir, college bus is always late at campus gate, please look into it. Otherwise things are good, just fix this.",Transport,Medium,Positive
"Complaint: class 3B me lecture is too fast, today morning. Ye kya ho raha hai.",Faculty Issue,Medium,Negative
"Dear admin, sewage smell at hostel bathroom, minor issue. Kindly resolve at earliest.",Plumbing,Low,Neutral
"Complaint: accounts office me office staff not responding, assault. Awaiting your response.",Administrative,Critical,Neutral
"To whom it may concern, There is a problem: parking is chaotic in the faculty parking. still not fixed. This is unacceptable.",Parking,High,Negative
"Dear admin, classroom me wifi disconnects every 5 minutes, few hours. This is unacceptable.",Internet/Wifi,Medium,Negative
bullying in class. Location: hostel corridor. no response yet. Very disappointed.,Harassment,High,Negative
Complaint: There is a problem: bullying in class in the canteen. few hours. Please look into it.,Harassment,Medium,Neutral
"Room 201 me पानी नहीं आ रहा, kindly resolve. Ye kya ho raha hai.",Water Supply,Medium,Negative
"bus driver is rude at route 5, since yesterday. Kindly resolve at earliest.",Transport,Medium,Neutral
"Sir, dining area me same menu every day, few hours. Very disappointed.",Mess/Food,Medium,Negative
"To whom it may concern, strangers entering hostel. Location: library. few hours. This is unacceptable.",Security/Safety,Medium,Negative
"Dear admin, fire hazard in lab at main gate, kabhi kabhi hota hai. This is unacceptable.",Security/Safety,Low,Negative
"Sir, water supply cut off. Location: Hostel Block C. today morning. Ye kya ho raha hai.",Water Supply,Medium,Negative
"To whom it may concern, lecture is too fast at lecture hall, medical emergency. This is unacceptable.",Faculty Issue,Critical,Negative
"Sir, There is a problem: certificate not issued in the registrar office. immediately. Otherwise things are good, just fix this.",Administrative,Critical,Positive
"Hello, There is a problem: computer is not turning on in the computer lab. few hours. Kindly resolve at earliest.",Computer/Hardware,Medium,Neutral
"Sir, library me strangers entering hostel, minor issue. Please look into it.",Security/Safety,Low,Neutral
Complaint: no parking space. Location: faculty parking. for 2 days. Ye kya ho raha hai.,Parking,High,Negative
"To whom it may concern, cctv not working. Location: hostel gate. today morning. Kindly resolve at earliest.",Security/Safety,Medium,Neutral
"Hello, There is a problem: admission form not accepted in the accounts office. occasionally. Please look into it.",Administrative,Low,Neutral
"Sir, There is a problem: no power in whole floor in the mess hall. many students affected. Very disappointed.",Electricity,High,Negative
"Dear admin, There is a problem: computer is not turning on in the office. please look into it. Please look into it.",Computer/Hardware,Medium,Neutral
Complaint: someone blocked my vehicle. Location: parking lot. kindly resolve. Bahut buri service hai.,Parking,Medium,Negative
"Hello, block C me no proper cleaning, since 3 days. Bahut buri service hai.",Hostel Room,High,Negative
"Hello, bus did not come today at campus gate, still not fixed. Appreciate quick action.",Transport,High,Positive
"Dear admin, bus did not come today. Location: campus gate. many students affected. Bahut buri service hai.",Transport,High,Negative
someone blocked my vehicle. Location: faculty parking. many students affected. Very disappointed.,Parking,High,Negative
"Hello, There is a problem: cannot connect to campus network in the classroom. few hours. This is unacceptable.",Internet/Wifi,Medium,Negative
"Sir, no power in whole floor at study hall, small problem. Kindly resolve at earliest.",Electricity,Low,Neutral
"Sir, printer paper jam. Location: computer lab. since 4 days. Awaiting your response.",Computer/Hardware,High,Neutral
"Dear admin, department me teacher not coming to class regularly, for 2 days. Ye kya ho raha hai.",Faculty Issue,High,Negative
"Dear admin, lecture hall me teacher not coming to class regularly, still not fixed. Frustrated with this.",Faculty Issue,High,Negative
"certificate not issued at accounts office, many students affected. Thanks.",Administrative,High,Neutral
"Hello, washroom is very dirty at corridor, please look into it. This is unacceptable.",Cleanliness,Medium,Negative
"To whom it may concern, There is a problem: admission form not accepted in the admin block. kindly resolve. This is unacceptable.",Administrative,Medium,Negative
"Sir, toilet is clogged. Location: ground floor washroom. few hours. Please look into it.",Plumbing,Medium,Neutral
"Hello, notice board me results not published, kindly resolve. This is unacceptable.",Academic Issue,Medium,Negative
"department me teacher not coming to class regularly, since 4 days. Frustrated with this.",Faculty Issue,High,Negative
"Sir, professor not clearing doubts. Location: class 3B. kindly resolve. Otherwise things are good, just fix this.",Faculty Issue,Medium,Positive
"Sir, ragging by seniors. Location: hostel corridor. since 4 days. Thanks.",Harassment,High,Neutral
"Sir, There is a problem: office staff not responding in the accounts office. minor issue. Awaiting your response.",Administrative,Low,Neutral
"To whom it may concern, general complaint. Location: college. for 2 days. Kindly resolve at earliest.",Other,High,Neutral
"To whom it may concern, There is a problem: internet is very slow in the library. minor issue. Ye kya ho raha hai.",Internet/Wifi,Low,Negative
"To whom it may concern, corridor is filthy. Location: corridor. since yesterday. Bahut buri service hai.",Cleanliness,Medium,Negative
results not published. Location: academic office. few hours. Bahut buri service hai.,Academic Issue,Medium,Negative
"Sir, no power in whole floor. Location: mess hall. medical emergency. Bahut buri service hai.",Electricity,Critical,Negative
There is a problem: current fluctuation is damaging appliances in the Room 101. small problem. Please look into it.,Electricity,Low,Neutral
"To whom it may concern, general complaint. Location: college. for 2 days. Bahut buri service hai.",Other,High,Negative
Complaint: There is a problem: wallet stolen from library in the parking lot. small problem. Frustrated with this.,Security/Safety,Low,Negative
"Sir, computer lab me cannot connect to campus network, few hours. Thanks in advance.",Internet/Wifi,Medium,Positive
There is a problem: suggestion for improvement in the campus. no response yet. Thanks.,Other,High,Neutral
"To whom it may concern, admin block me office staff not responding, kindly resolve. Awaiting your response.",Administrative,Medium,Neutral
"Dear admin, shower head broken at hostel bathroom, minor issue. Bahut buri service hai.",Plumbing,Low,Negative
"Sir, room not cleaned for days at washroom, few hours. Please look into it.",Cleanliness,Medium,Neutral
Complaint: There is a problem: faculty is rude in the lecture hall. still not fixed. This is unacceptable.,Faculty Issue,High,Negative
"Hello, There is a problem: parking is chaotic in the parking lot. still not fixed. Thanks.",Parking,High,Neutral
"garbage not collected at main road, few hours. Frustrated with this.",Garbage,Medium,Negative
"Sir, flush not working at hostel bathroom, since yesterday. Please look into it.",Plumbing,Medium,Neutral
"Dear admin, roommate issue. Location: block C. many students affected. Otherwise things are good, just fix this.",Hostel Room,High,Positive
"Dear admin, There is a problem: printer paper jam in the faculty room. since yesterday. Awaiting your response.",Computer/Hardware,Medium,Neutral
Complaint: There is a problem: strangers entering hostel in the main gate. many students affected. Appreciate quick action.,Security/Safety,High,Positive
"Dear admin, There is a problem: roommate issue in the block C. few hours. Very disappointed.",Hostel Room,Medium,Negative
"Dear admin, misc issue. Location: college. since last week. Frustrated with this.",Other,High,Negative
"To whom it may concern, route 5 me bus did not come today, today morning. Very disappointed.",Transport,Medium,Negative
Complaint: There is a problem: no proper cleaning in the warden office. few hours. Kindly resolve at earliest.,Hostel Room,Medium,Neutral
There is a problem: room not cleaned for days in the corridor. please look into it. Thanks.,Cleanliness,Medium,Neutral
"Hello, same menu every day at canteen, today morning. Awaiting your response.",Mess/Food,Medium,Neutral
"Hello, water supply cut off at Girls Hostel, since 3 days. This is unacceptable.",Water Supply,High,Negative
"To whom it may concern, washroom me cobwebs everywhere, since 3 days. Ye kya ho raha hai.",Cleanliness,High,Negative
"To whom it may concern, results not published at notice board, occasionally. This is unacceptable.",Academic Issue,Low,Negative
"Sir, There is a problem: router is offline in the library. since yesterday. Bahut buri service hai.",Internet/Wifi,Medium,Negative
"Hello, certificate not issued. Location: admin block. minor issue. Very disappointed.",Administrative,Low,Negative
"Dear admin, warden not responding at hostel room 202, since yesterday. Bahut buri service hai.",Hostel Room,Medium,Negative
"Complaint: waste dumped near hostel at canteen area, still not fixed. This is unacceptable.",Garbage,High,Negative
"To whom it may concern, ragging by seniors. Location: sports ground. please look into it. Ye kya ho raha hai.",Harassment,Medium,Negative
"Sir, registrar office me certificate not issued, kabhi kabhi hota hai. Very disappointed.",Administrative,Low,Negative
"To whom it may concern, accounts office me admission form not accepted, since yesterday. Bahut buri service hai.",Administrative,Medium,Negative
Complaint: exam schedule clash. Location: portal. medical emergency. Bahut buri service hai.,Academic Issue,Critical,Negative
"Sir, corridor is filthy. Location: ground floor. no response yet. Very disappointed.",Cleanliness,High,Negative
"Sir, There is a problem: shower head broken in the staff toilet. many students affected. Bahut buri service hai.",Plumbing,High,Negative
"Dear admin, no parking space at parking lot, since yesterday. Very disappointed.",Parking,Medium,Negative
"Dear admin, hostel corridor me harassment in hostel, urgent. Bahut buri service hai.",Harassment,Critical,Negative
"To whom it may concern, toilet is clogged. Location: hostel bathroom. kindly resolve. This is unacceptable.",Plumbing,Medium,Negative
"To whom it may concern, There is a problem: internet is very slow in the classroom. since last week. This is unacceptable.",Internet/Wifi,High,Negative
"Sir, general complaint. Location: college. since yesterday. Otherwise things are good, just fix this.",Other,Medium,Positive
Complaint: There is a problem: no water supply in the Hostel Block B. for 2 days. Very disappointed.,Water Supply,High,Negative
Complaint: harassment in hostel. Location: canteen. minor issue. Bahut buri service hai.,Harassment,Low,Negative
"To whom it may concern, There is a problem: same menu every day in the mess hall. few hours. This is unacceptable.",Mess/Food,Medium,Negative
"Dear admin, ground floor washroom me sewage smell, since yesterday. Bahut buri service hai.",Plumbing,Medium,Negative
"To whom it may concern, general complaint. Location: campus. medical emergency. Thanks.",Other,Critical,Neutral
"To whom it may concern, There is a problem: professor not clearing doubts in the class 3B. today morning. Frustrated with this.",Faculty Issue,Medium,Negative
"To whom it may concern, washroom is very dirty at corridor, many students affected. Otherwise things are good, just fix this.",Cleanliness,High,Positive
"To whom it may concern, professor not clearing doubts at class 3B, kindly resolve. This is unacceptable.",Faculty Issue,Medium,Negative
"Dear admin, ground floor washroom me toilet is clogged, since 4 days. Frustrated with this.",Plumbing,High,Negative
There is a problem: washroom is very dirty in the washroom. for 2 days. Frustrated with this.,Cleanliness,High,Negative
"To whom it may concern, water supply cut off at Boys Hostel, many students affected. Frustrated with this.",Water Supply,High,Negative
"Complaint: internet is very slow at library, kabhi kabhi hota hai. Bahut buri service hai.",Internet/Wifi,Low,Negative
"Sir, no electricity. Location: auditorium. danger to life. Bahut buri service hai.",Electricity,Critical,Negative
Complaint: There is a problem: bus driver is rude in the bus stop. since 4 days. Awaiting your response.,Transport,High,Neutral
suggestion for improvement. Location: campus. small problem. Bahut buri service hai.,Other,Low,Negative
"Hello, auditorium me bijli nahi hai, since 4 days. Awaiting your response.",Electricity,High,Neutral
"Dear admin, There is a problem: no drinking water in the Room 305. since 4 days. Thanks in advance.",Water Supply,High,Positive
"Hello, warden not responding at hostel room 202, small problem. Frustrated with this.",Hostel Room,Low,Negative
"Complaint: no electricity at Hostel Block D, just a suggestion. Ye kya ho raha hai.",Electricity,Low,Negative
"Dear admin, cold food served at mess hall, still not fixed. Bahut buri service hai.",Mess/Food,High,Negative
"To whom it may concern, bed sheet not changed. Location: warden office. kabhi kabhi hota hai. Bahut buri service hai.",Hostel Room,Low,Negative
"Hello, cannot connect to campus network. Location: hostel room. occasionally. Very disappointed.",Internet/Wifi,Low,Negative
"To whom it may concern, There is a problem: broken bed in the block C. today morning. Bahut buri service hai.",Hostel Room,Medium,Negative
"Dear admin, sports ground me harassment in hostel, for 2 days. Frustrated with this.",Harassment,High,Negative
internet is very slow. Location: computer lab. kindly resolve. Thanks.,Internet/Wifi,Medium,Neutral
"To whom it may concern, block C me no proper cleaning, occasionally. Very disappointed.",Hostel Room,Low,Negative
"Dear admin, bus did not come today. Location: bus stop. since last week. Frustrated with this.",Transport,High,Negative
"Sir, There is a problem: suggestion for improvement in the campus. today morning. Frustrated with this.",Other,Medium,Negative
"cobwebs everywhere at corridor, since yesterday. Otherwise things are good, just fix this.",Cleanliness,Medium,Positive
"attendance shortage marked wrongly at academic office, minor issue. Ye kya ho raha hai.",Academic Issue,Low,Negative
"Dear admin, bus stop me bus driver is rude, please look into it. Thanks.",Transport,Medium,Neutral
"Dear admin, faculty parking me someone blocked my vehicle, kabhi kabhi hota hai. Bahut buri service hai.",Parking,Low,Negative
"Complaint: faculty room me system is very slow, today morning. Thanks.",Computer/Hardware,Medium,Neutral
"Hello, washroom is very dirty at corridor, medical emergency. Thanks.",Cleanliness,Critical,Neutral
There is a problem: wifi not working in the hostel room. since 3 days. This is unacceptable.,Internet/Wifi,High,Negative
There is a problem: cctv not working in the hostel gate. few hours. Kindly resolve at earliest.,Security/Safety,Medium,Neutral
"Hello, misc issue. Location: college. fire. Appreciate quick action.",Other,Critical,Positive
"Sir, garbage not collected at main road, since last week. Thanks.",Garbage,High,Neutral
"Sir, same menu every day. Location: dining area. minor issue. Thanks in advance.",Mess/Food,Low,Positive
"Hello, There is a problem: no proper cleaning in the warden office. few hours. Kindly resolve at earliest.",Hostel Room,Medium,Neutral
"To whom it may concern, There is a problem: no parking space in the parking lot. since yesterday. Please look into it.",Parking,Medium,Neutral
"Sir, mess timing is wrong. Location: mess hall. small problem. Bahut buri service hai.",Mess/Food,Low,Negative
"To whom it may concern, registrar office me certificate not issued, today morning. Thanks in advance.",Administrative,Medium,Positive
"Hello, current fluctuation is damaging appliances at study hall, for 2 days. Very disappointed.",Electricity,High,Negative
"To whom it may concern, There is a problem: food quality is very poor in the mess hall. small problem. Very disappointed.",Mess/Food,Low,Negative
"washroom is very dirty at washroom, no response yet. Awaiting your response.",Cleanliness,High,Neutral
"Hello, There is a problem: wifi disconnects every 5 minutes in the library. today morning. Very disappointed.",Internet/Wifi,Medium,Negative
"Sir, found insect in food. Location: canteen. today morning. Very disappointed.",Mess/Food,Medium,Negative
"Complaint: cobwebs everywhere at ground floor, kindly resolve. Bahut buri service hai.",Cleanliness,Medium,Negative
"Hello, roommate issue at block C, for 2 days. Ye kya ho raha hai.",Hostel Room,High,Negative
"To whom it may concern, accounts office me admission form not accepted, small problem. Awaiting your response.",Administrative,Low,Neutral
"To whom it may concern, There is a problem: monitor is blank in the office. since yesterday. Ye kya ho raha hai.",Computer/Hardware,Medium,Negative
"Dear admin, college me general complaint, kindly resolve. Bahut buri service hai.",Other,Medium,Negative
"To whom it may concern, certificate not issued at admin block, since 3 days. Very disappointed.",Administrative,High,Negative
Complaint: faculty is rude. Location: class 3B. since 4 days. Kindly resolve at earliest.,Faculty Issue,High,Neutral
"Sir, misc issue. Location: college. still not fixed. Frustrated with this.",Other,High,Negative
